Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity
Jordan,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11
Benin,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175
Congo (Brazzaville),0.6729999999999999,0.799,0.508,0.37200000000000005,0.105
Gabon,1.057,1.183,0.5710000000000001,0.295,0.043
Laos,0.764,1.03,0.551,0.547,0.266
South Africa,0.96,1.351,0.469,0.389,0.13
Albania,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002
Venezuela,0.96,1.4269999999999998,0.805,0.154,0.064
Cambodia,0.574,1.122,0.637,0.609,0.23199999999999998
Palestinian Territories,0.657,1.247,0.672,0.225,0.10300000000000001
Senegal,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153
Somalia,0.0,0.698,0.268,0.5589999999999999,0.243
Namibia,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07
Niger,0.138,0.774,0.366,0.318,0.188
Burkina Faso,0.331,1.056,0.38,0.255,0.177
Armenia,0.85,1.055,0.815,0.28300000000000003,0.095
Iran,1.1,0.8420000000000001,0.785,0.305,0.27
Guinea,0.38,0.8290000000000001,0.375,0.332,0.207
Georgia,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043
Gambia,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996
Kenya,0.512,0.983,0.581,0.431,0.37200000000000005
Mauritania,0.57,1.167,0.489,0.066,0.106
Mozambique,0.204,0.986,0.39,0.494,0.19699999999999998
Tunisia,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004
Bangladesh,0.562,0.9279999999999999,0.723,0.527,0.166
Iraq,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002
Congo (Kinshasa),0.094,1.125,0.35700000000000004,0.26899999999999996,0.212
Mali,0.385,1.105,0.308,0.327,0.153
Sierra Leone,0.268,0.841,0.242,0.309,0.252
Sri Lanka,0.9490000000000001,1.265,0.831,0.47,0.244
Myanmar,0.71,1.181,0.555,0.525,0.5660000000000001
Chad,0.35,0.7659999999999999,0.192,0.174,0.198
Ukraine,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187
Ethiopia,0.336,1.033,0.532,0.344,0.209
Swaziland,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001
Uganda,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252
Egypt,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076
Zambia,0.578,1.058,0.426,0.431,0.247
Togo,0.275,0.5720000000000001,0.41,0.293,0.177
India,0.755,0.765,0.588,0.498,0.2
Liberia,0.073,0.922,0.44299999999999995,0.37,0.233
Comoros,0.27399999999999997,0.757,0.505,0.142,0.275
Madagascar,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998
Lesotho,0.489,1.169,0.168,0.359,0.107
Burundi,0.046,0.447,0.38,0.22,0.17600000000000002
Zimbabwe,0.366,1.114,0.433,0.361,0.151
Haiti,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419
Botswana,1.041,1.145,0.5379999999999999,0.455,0.025
Syria,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331
Malawi,0.191,0.56,0.495,0.44299999999999995,0.218
Yemen,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001
Rwanda,0.359,0.711,0.614,0.555,0.217
Tanzania,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276
Afghanistan,0.35,0.517,0.361,0.0,0.158
Central African Republic,0.026000000000000002,0.0,0.105,0.225,0.235
South Sudan,0.306,0.575,0.295,0.01,0.20199999999999999
